Id,X,Y,Z,dX,dY,dZ,Bunny
44,-856.6687678886002,-436.4284164572601,-373,100,100,100,Air
45,-937.784725423128,-552.2740095251739,-273,100,100,100,Air
46,-839.3039501219072,-534.9091917584809,-273,100,100,100,Body
47,-955.149543189821,-453.7932342239532,-273,100,100,100,Air
48,-856.6687678886002,-436.4284164572601,-273,100,100,100,Body
49,-740.8231748206863,-517.5443739917878,-373,100,100,100,Air
50,-642.3423995194655,-500.1795562250948,-373,100,100,100,Air
51,-758.1879925873793,-419.063598690567,-373,100,100,100,Air
52,-659.7072172861585,-401.698780923874,-373,100,100,100,Air
53,-740.8231748206863,-517.5443739917878,-273,100,100,100,Body
54,-642.3423995194655,-500.1795562250948,-273,100,100,100,Body
55,-758.1879925873793,-419.063598690567,-273,100,100,100,Body
56,-659.7072172861585,-401.698780923874,-273,100,100,100,Body
57,-706.0935392873002,-714.5059245942296,-173,100,100,100,Air
58,-607.6127639860795,-697.1411068275364,-173,100,100,100,Air
59,-723.4583570539933,-616.0251492930088,-173,100,100,100,Air
60,-624.9775817527725,-598.6603315263156,-173,100,100,100,Body
61,-706.0935392873002,-714.5059245942296,-73,100,100,100,Air
62,-607.6127639860795,-697.1411068275364,-73,100,100,100,Air
63,-723.4583570539933,-616.0251492930088,-73,100,100,100,Air
64,-624.9775817527725,-598.6603315263156,-73,100,100,100,Air
65,-937.784725423128,-552.2740095251739,-173,100,100,100,Air
66,-839.3039501219072,-534.9091917584809,-173,100,100,100,Air
67,-955.149543189821,-453.7932342239532,-173,100,100,100,Air
68,-856.6687678886002,-436.4284164572601,-173,100,100,100,Body
69,-937.784725423128,-552.2740095251739,-73,100,100,100,Air
70,-839.3039501219072,-534.9091917584809,-73,100,100,100,Air
71,-955.149543189821,-453.7932342239532,-73,100,100,100,Air
72,-856.6687678886002,-436.4284164572601,-73,100,100,100,Air
73,-740.8231748206863,-517.5443739917878,-173,100,100,100,Body
74,-642.3423995194655,-500.1795562250948,-173,100,100,100,Body
75,-758.1879925873793,-419.063598690567,-173,100,100,100,Body
76,-659.7072172861585,-401.698780923874,-173,100,100,100,Body
77,-740.8231748206863,-517.5443739917878,-73,100,100,100,Air
78,-642.3423995194655,-500.1795562250948,-73,100,100,100,Body
79,-758.1879925873793,-419.063598690567,-73,100,100,100,Body
80,-659.7072172861585,-401.698780923874,-73,100,100,100,Body
81,-271.612459315153,-587.1238569935005,-323,200,200,200,Air
82,-503.3036454509806,-424.8919419244448,-123,200,200,200,Body
83,-306.3420948485391,-390.1623063910588,-123,200,200,200,Body
84,-509.1319886848587,-679.7762890608434,-373,100,100,100,Air
85,-410.6512133836379,-662.4114712941504,-373,100,100,100,Air
86,-526.4968064515517,-581.2955137596226,-373,100,100,100,Air
87,-428.0160311503309,-563.9306959929296,-373,100,100,100,Air
88,-509.1319886848587,-679.7762890608434,-273,100,100,100,Air
89,-410.6512133836379,-662.4114712941504,-273,100,100,100,Air
90,-526.4968064515517,-581.2955137596226,-273,100,100,100,Body
91,-428.0160311503309,-563.9306959929296,-273,100,100,100,Body
92,-543.8616242182447,-482.8147384584017,-373,100,100,100,Air
93,-445.380848917024,-465.4499206917087,-373,100,100,100,Air
94,-561.2264419849378,-384.333963157181,-373,100,100,100,Air
95,-462.745666683717,-366.9691453904879,-373,100,100,100,Air
96,-543.8616242182447,-482.8147384584017,-273,100,100,100,Body
97,-445.380848917024,-465.4499206917087,-273,100,100,100,Body
98,-561.2264419849378,-384.333963157181,-273,100,100,100,Body
99,-462.745666683717,-366.9691453904879,-273,100,100,100,Air
100,-346.9000736158032,-448.0851029250157,-373,100,100,100,Air
101,-248.4192983145824,-430.7202851583227,-373,100,100,100,Air
102,-364.2648913824962,-349.6043276237949,-373,100,100,100,Air
103,-265.7841160812754,-332.2395098571019,-373,100,100,100,Air
104,-346.9000736158032,-448.0851029250157,-273,100,100,100,Body
105,-248.4192983145824,-430.7202851583227,-273,100,100,100,Body
106,-364.2648913824962,-349.6043276237949,-273,100,100,100,Air
107,-265.7841160812754,-332.2395098571019,-273,100,100,100,Air
108,-509.1319886848587,-679.7762890608434,-173,100,100,100,Air
109,-410.6512133836379,-662.4114712941504,-173,100,100,100,Air
110,-526.4968064515517,-581.2955137596226,-173,100,100,100,Body
111,-428.0160311503309,-563.9306959929296,-173,100,100,100,Body
112,-509.1319886848587,-679.7762890608434,-73,100,100,100,Air
113,-410.6512133836379,-662.4114712941504,-73,100,100,100,Air
114,-526.4968064515517,-581.2955137596226,-73,100,100,100,Air
115,-428.0160311503309,-563.9306959929296,-73,100,100,100,Air
116,-312.1704380824171,-645.0466535274574,-173,100,100,100,Air
117,-213.6896627811964,-627.6818357607643,-173,100,100,100,Air
118,-329.5352558491102,-546.5658782262366,-173,100,100,100,Body
119,-231.0544805478894,-529.2010604595436,-173,100,100,100,Air
120,-312.1704380824171,-645.0466535274574,-73,100,100,100,Air
121,-213.6896627811964,-627.6818357607643,-73,100,100,100,Air
122,-329.5352558491102,-546.5658782262366,-73,100,100,100,Body
123,-231.0544805478894,-529.2010604595436,-73,100,100,100,Body
124,-74.6509087127115,-552.3942214601143,-323,200,200,200,Air
125,-109.3805442460975,-355.4326708576727,-123,200,200,200,Body
126,87.58100635634401,-320.7030353242867,-123,200,200,200,Body
127,81.75266312246617,-575.5873824606851,-373,100,100,100,Air
128,180.2334384236869,-558.2225646939921,-373,100,100,100,Air
129,64.38784535577315,-477.1066071594644,-373,100,100,100,Air
130,162.8686206569939,-459.7417893927714,-373,100,100,100,Air
131,81.75266312246617,-575.5873824606851,-273,100,100,100,Air
132,180.2334384236869,-558.2225646939921,-273,100,100,100,Air
133,64.38784535577315,-477.1066071594644,-273,100,100,100,Body
134,162.8686206569939,-459.7417893927714,-273,100,100,100,Body
135,-149.9385230133614,-413.3554673916296,-373,100,100,100,Air
136,-51.45774771214064,-395.9906496249366,-373,100,100,100,Air
137,-167.3033407800544,-314.8746920904089,-373,100,100,100,Air
138,-68.82256547883367,-297.5098743237158,-373,100,100,100,Air
139,-149.9385230133614,-413.3554673916296,-273,100,100,100,Body
140,-51.45774771214064,-395.9906496249366,-273,100,100,100,Body
141,-167.3033407800544,-314.8746920904089,-273,100,100,100,Air
142,-68.82256547883367,-297.5098743237158,-273,100,100,100,Air
143,47.02302758908013,-378.6258318582436,-373,100,100,100,Air
144,145.5038028903009,-361.2610140915505,-373,100,100,100,Air
145,29.65820982238711,-280.1450565570228,-373,100,100,100,Air
146,128.1389851236079,-262.7802387903298,-373,100,100,100,Air
147,47.02302758908013,-378.6258318582436,-273,100,100,100,Body
148,145.5038028903009,-361.2610140915505,-273,100,100,100,Body
149,29.65820982238711,-280.1450565570228,-273,100,100,100,Air
150,128.1389851236079,-262.7802387903298,-273,100,100,100,Air
151,-115.2088874799754,-610.3170179940712,-173,100,100,100,Air
152,-16.7281121787546,-592.9522002273782,-173,100,100,100,Air
153,-132.5737052466684,-511.8362426928504,-173,100,100,100,Body
154,-34.09292994544762,-494.4714249261574,-173,100,100,100,Body
155,-115.2088874799754,-610.3170179940712,-73,100,100,100,Air
156,-16.7281121787546,-592.9522002273782,-73,100,100,100,Air
157,-132.5737052466684,-511.8362426928504,-73,100,100,100,Body
158,-34.09292994544762,-494.4714249261574,-73,100,100,100,Body
159,81.75266312246617,-575.5873824606851,-173,100,100,100,Air
160,180.2334384236869,-558.2225646939921,-173,100,100,100,Air
161,64.38784535577315,-477.1066071594644,-173,100,100,100,Body
162,162.8686206569939,-459.7417893927714,-173,100,100,100,Body
163,81.75266312246617,-575.5873824606851,-73,100,100,100,Air
164,180.2334384236869,-558.2225646939921,-73,100,100,100,Air
165,64.38784535577315,-477.1066071594644,-73,100,100,100,Body
166,162.8686206569939,-459.7417893927714,-73,100,100,100,Body
167,319.2721924921718,-482.9349503933422,-323,200,200,200,Air
168,516.2337430946131,-448.2053148599562,-323,200,200,200,Air
169,481.5041075612271,-251.2437642575144,-323,200,200,200,Air
170,516.2337430946131,-448.2053148599562,-123,200,200,200,Air
171,284.5425569587856,-285.9733997909007,-123,200,200,200,Body
172,243.9845781915217,-343.8961963248574,-373,100,100,100,Air
173,342.4653534927427,-326.5313785581644,-373,100,100,100,Air
174,226.6197604248287,-245.4154210236366,-373,100,100,100,Air
175,325.1005357260497,-228.0506032569438,-373,100,100,100,Air
176,243.9845781915217,-343.8961963248574,-273,100,100,100,Body
177,342.4653534927427,-326.5313785581644,-273,100,100,100,Body
178,226.6197604248287,-245.4154210236366,-273,100,100,100,Body
179,325.1005357260497,-228.0506032569438,-273,100,100,100,Body
180,278.7142137249077,-540.8577469272991,-173,100,100,100,Air
181,377.1949890261287,-523.4929291606061,-173,100,100,100,Air
182,261.3493959582147,-442.3769716260783,-173,100,100,100,Body
183,359.8301712594357,-425.0121538593853,-173,100,100,100,Air
184,278.7142137249077,-540.8577469272991,-73,100,100,100,Air
185,377.1949890261287,-523.4929291606061,-73,100,100,100,Air
186,261.3493959582147,-442.3769716260783,-73,100,100,100,Body
187,359.8301712594357,-425.0121538593853,-73,100,100,100,Body
188,440.9461287939635,-309.1665607914715,-173,100,100,100,Air
189,539.4269040951845,-291.8017430247783,-173,100,100,100,Air
190,423.5813110272702,-210.6857854902505,-173,100,100,100,Body
191,522.0620863284912,-193.3209677235575,-173,100,100,100,Air
192,440.9461287939635,-309.1665607914715,-73,100,100,100,Body
193,539.4269040951845,-291.8017430247783,-73,100,100,100,Air
194,423.5813110272702,-210.6857854902505,-73,100,100,100,Body
195,522.0620863284912,-193.3209677235575,-73,100,100,100,Body
196,794.3112512315829,-297.6300862586563,-223,400,400,400,Air
197,1188.234352436466,-228.1708151918842,-223,400,400,400,Air
198,-1638.686627064489,-320.462611454406,-223,400,400,400,Air
199,-1325.879483394133,-366.8489334555476,-323,200,200,200,Air
200,-1128.917932791692,-332.1192979221615,-323,200,200,200,Air
201,-1325.879483394133,-366.8489334555476,-123,200,200,200,Air
202,-1128.917932791692,-332.1192979221615,-123,200,200,200,Air
203,-1360.609118927519,-169.8873828531061,-123,200,200,200,Air
204,-1401.167097694783,-227.8101793870628,-373,100,100,100,Air
205,-1302.686322393562,-210.4453616203698,-373,100,100,100,Air
206,-1418.531915461476,-129.329404085842,-373,100,100,100,Air
207,-1320.051140160256,-111.964586319149,-373,100,100,100,Air
208,-1401.167097694783,-227.8101793870628,-273,100,100,100,Air
209,-1302.686322393562,-210.4453616203698,-273,100,100,100,Air
210,-1418.531915461476,-129.329404085842,-273,100,100,100,Air
211,-1320.051140160256,-111.964586319149,-273,100,100,100,Body
212,-1204.205547092342,-193.0805438536768,-373,100,100,100,Air
213,-1105.724771791121,-175.7157260869838,-373,100,100,100,Air
214,-1221.570364859035,-94.599768552456,-373,100,100,100,Air
215,-1123.089589557814,-77.23495078576298,-373,100,100,100,Air
216,-1204.205547092342,-193.0805438536768,-273,100,100,100,Air
217,-1105.724771791121,-175.7157260869838,-273,100,100,100,Body
218,-1221.570364859035,-94.599768552456,-273,100,100,100,Body
219,-1123.089589557814,-77.23495078576298,-273,100,100,100,Body
220,-1204.205547092342,-193.0805438536768,-173,100,100,100,Air
221,-1105.724771791121,-175.7157260869838,-173,100,100,100,Body
222,-1221.570364859035,-94.599768552456,-173,100,100,100,Body
223,-1123.089589557814,-77.23495078576298,-173,100,100,100,Body
224,-1204.205547092342,-193.0805438536768,-73,100,100,100,Air
225,-1105.724771791121,-175.7157260869838,-73,100,100,100,Air
226,-1221.570364859035,-94.599768552456,-73,100,100,100,Air
227,-1123.089589557814,-77.23495078576298,-73,100,100,100,Body
228,-734.9948315868086,-262.6600268553893,-123,200,200,200,Body
229,-966.6860177226363,-100.4281117863338,-123,200,200,200,Body
230,-769.7244671201947,-65.69847625294778,-123,200,200,200,Body
231,-972.514360956514,-355.3124589227324,-373,100,100,100,Air
232,-874.0335856552932,-337.9476411560394,-373,100,100,100,Air
233,-989.879178723207,-256.8316836215115,-373,100,100,100,Air
234,-891.3984034219862,-239.4668658548185,-373,100,100,100,Air
235,-972.514360956514,-355.3124589227324,-273,100,100,100,Air
236,-874.0335856552932,-337.9476411560394,-273,100,100,100,Body
237,-989.879178723207,-256.8316836215115,-273,100,100,100,Air
238,-891.3984034219862,-239.4668658548185,-273,100,100,100,Body
239,-775.5528103540723,-320.5828233893462,-373,100,100,100,Air
240,-677.0720350528516,-303.2180056226532,-373,100,100,100,Air
241,-792.9176281207654,-222.1020480881255,-373,100,100,100,Air
242,-694.4368528195446,-204.7372303214324,-373,100,100,100,Air
243,-775.5528103540723,-320.5828233893462,-273,100,100,100,Body
244,-677.0720350528516,-303.2180056226532,-273,100,100,100,Air
245,-792.9176281207654,-222.1020480881255,-273,100,100,100,Body
246,-694.4368528195446,-204.7372303214324,-273,100,100,100,Air
247,-1007.2439964899,-158.3509083202907,-373,100,100,100,Air
248,-908.7632211886794,-140.9860905535977,-373,100,100,100,Air
249,-1024.608814256593,-59.87013301906995,-373,100,100,100,Air
250,-926.1280389553724,-42.50531525237693,-373,100,100,100,Air
251,-1007.2439964899,-158.3509083202907,-273,100,100,100,Body
252,-908.7632211886794,-140.9860905535977,-273,100,100,100,Body
253,-1024.608814256593,-59.87013301906995,-273,100,100,100,Body
254,-926.1280389553724,-42.50531525237693,-273,100,100,100,Body
255,-810.2824458874584,-123.6212727869047,-373,100,100,100,Air
256,-711.8016705862376,-106.2564550202117,-373,100,100,100,Air
257,-827.6472636541515,-25.14049748568391,-373,100,100,100,Air
258,-729.1664883529307,-7.775679718990887,-373,100,100,100,Air
259,-810.2824458874584,-123.6212727869047,-273,100,100,100,Body
260,-711.8016705862376,-106.2564550202117,-273,100,100,100,Air
261,-827.6472636541515,-25.14049748568391,-273,100,100,100,Body
262,-729.1664883529307,-7.775679718990887,-273,100,100,100,Body
263,-972.514360956514,-355.3124589227324,-173,100,100,100,Air
264,-874.0335856552932,-337.9476411560394,-173,100,100,100,Body
265,-989.879178723207,-256.8316836215115,-173,100,100,100,Air
266,-891.3984034219862,-239.4668658548185,-173,100,100,100,Body
267,-972.514360956514,-355.3124589227324,-73,100,100,100,Air
268,-874.0335856552932,-337.9476411560394,-73,100,100,100,Air
269,-989.879178723207,-256.8316836215115,-73,100,100,100,Air
270,-891.3984034219862,-239.4668658548185,-73,100,100,100,Air
271,-538.0332809843669,-227.9303913220033,-323,200,200,200,Air
272,-341.0717303819254,-193.2007557886172,-323,200,200,200,Air
273,-572.762916517753,-30.96884071956174,-323,200,200,200,Air
274,-375.8013659153114,3.760794813824305,-323,200,200,200,Air
275,-538.0332809843669,-227.9303913220033,-123,200,200,200,Body
276,-341.0717303819254,-193.2007557886172,-123,200,200,200,Body
277,-572.762916517753,-30.96884071956174,-123,200,200,200,Body
278,-375.8013659153114,3.760794813824305,-123,200,200,200,Body
279,-144.1101797794838,-158.4711202552312,-323,200,200,200,Air
280,52.85137082295773,-123.7414847218452,-323,200,200,200,Air
281,-178.8398153128699,38.49043034721035,-323,200,200,200,Air
282,-144.1101797794838,-158.4711202552312,-123,200,200,200,Body
283,52.85137082295773,-123.7414847218452,-123,200,200,200,Body
284,-178.8398153128699,38.49043034721035,-123,200,200,200,Body
285,18.12173528957169,73.22006588059639,-123,200,200,200,Body
286,-22.43624347769196,15.29726934663972,-373,100,100,100,Air
287,76.04453182352881,32.66208711333275,-373,100,100,100,Air
288,-39.80106124438498,113.7780446478605,-373,100,100,100,Air
289,58.67971405683579,131.1428624145535,-373,100,100,100,Air
290,-22.43624347769196,15.29726934663972,-273,100,100,100,Air
291,76.04453182352881,32.66208711333275,-273,100,100,100,Body
292,-39.80106124438498,113.7780446478605,-273,100,100,100,Air
293,58.67971405683579,131.1428624145535,-273,100,100,100,Body
294,249.8129214253995,-89.01184918845911,-123,200,200,200,Body
295,446.7744720278411,-54.28221365507284,-123,200,200,200,Body
296,215.0832858920135,107.9497014139824,-123,200,200,200,Body
297,412.044836494455,142.6793369473687,-123,200,200,200,Body
298,209.2549426581356,-146.934645722416,-373,100,100,100,Air
299,307.7357179593566,-129.5698279557228,-373,100,100,100,Air
300,191.8901248914426,-48.45387042119501,-373,100,100,100,Air
301,290.3709001926636,-31.08905265450221,-373,100,100,100,Air
302,209.2549426581356,-146.934645722416,-273,100,100,100,Body
303,307.7357179593566,-129.5698279557228,-273,100,100,100,Body
304,191.8901248914426,-48.45387042119501,-273,100,100,100,Body
305,290.3709001926636,-31.08905265450221,-273,100,100,100,Body
306,406.216493260577,-112.20501018903,-373,100,100,100,Air
307,504.697268561798,-94.84019242233671,-373,100,100,100,Air
308,388.8516754938842,-13.72423488780896,-373,100,100,100,Air
309,487.3324507951052,3.640582878884061,-373,100,100,100,Air
310,406.216493260577,-112.20501018903,-273,100,100,100,Air
311,504.697268561798,-94.84019242233671,-273,100,100,100,Air
312,388.8516754938842,-13.72423488780896,-273,100,100,100,Body
313,487.3324507951052,3.640582878884061,-273,100,100,100,Body
314,174.5253071247496,50.02690488002577,-373,100,100,100,Air
315,273.0060824259706,67.39172264671879,-373,100,100,100,Air
316,157.1604893580566,148.5076801812465,-373,100,100,100,Air
317,255.6412646592776,165.8724979479396,-373,100,100,100,Air
318,174.5253071247496,50.02690488002577,-273,100,100,100,Body
319,273.0060824259706,67.39172264671879,-273,100,100,100,Body
320,157.1604893580566,148.5076801812465,-273,100,100,100,Body
321,255.6412646592776,165.8724979479396,-273,100,100,100,Body
322,371.4868577271911,84.75654041341181,-373,100,100,100,Air
323,469.9676330284119,102.1213581801048,-373,100,100,100,Air
324,354.1220399604981,183.2373157146326,-373,100,100,100,Air
325,452.6028152617191,200.6021334813256,-373,100,100,100,Air
326,371.4868577271911,84.75654041341181,-273,100,100,100,Body
327,469.9676330284119,102.1213581801048,-273,100,100,100,Body
328,354.1220399604981,183.2373157146326,-273,100,100,100,Body
329,452.6028152617191,200.6021334813256,-273,100,100,100,Body
330,643.7360226302826,-19.55257812168679,-323,200,200,200,Air
331,840.6975732327242,15.17705741169925,-323,200,200,200,Air
332,805.9679376993381,212.1386080141408,-323,200,200,200,Air
333,643.7360226302826,-19.55257812168679,-123,200,200,200,Body
334,609.0063870968966,177.4089724807548,-123,200,200,200,Body
335,805.9679376993381,212.1386080141408,-123,200,200,200,Body
336,568.4484083296325,119.4861759467979,-373,100,100,100,Air
337,666.9291836308535,136.8509937134909,-373,100,100,100,Air
338,551.0835905629397,217.9669512480186,-373,100,100,100,Air
339,649.5643658641607,235.3317690147117,-373,100,100,100,Air
340,568.4484083296325,119.4861759467979,-273,100,100,100,Body
341,666.9291836308535,136.8509937134909,-273,100,100,100,Body
342,551.0835905629397,217.9669512480186,-273,100,100,100,Body
343,649.5643658641607,235.3317690147117,-273,100,100,100,Body
344,800.13959446546,-42.74573912225765,-173,100,100,100,Air
345,898.6203697666811,-25.38092135556462,-173,100,100,100,Air
346,782.7747766987673,55.73503617896313,-173,100,100,100,Body
347,881.2555519999883,73.09985394565615,-173,100,100,100,Air
348,800.13959446546,-42.74573912225765,-73,100,100,100,Body
349,898.6203697666811,-25.38092135556462,-73,100,100,100,Body
350,782.7747766987673,55.73503617896313,-73,100,100,100,Body
351,881.2555519999883,73.09985394565615,-73,100,100,100,Body
352,1037.659123835166,49.9066929450853,-323,200,200,200,Air
353,1234.620674437607,84.63632847847134,-323,200,200,200,Air
354,1002.92948830178,246.8682435475268,-323,200,200,200,Air
355,1199.891038904221,281.5978790809129,-323,200,200,200,Air
356,1234.620674437607,84.63632847847134,-123,200,200,200,Air
357,1199.891038904221,281.5978790809129,-123,200,200,200,Air
358,997.1011450679021,-8.016103588871601,-173,100,100,100,Air
359,1095.581920369123,9.348714177821421,-173,100,100,100,Air
360,979.7363273012093,90.46467171234917,-173,100,100,100,Air
361,1078.21710260243,107.8294894790422,-173,100,100,100,Air
362,997.1011450679021,-8.016103588871601,-73,100,100,100,Air
363,1095.581920369123,9.348714177821421,-73,100,100,100,Air
364,979.7363273012093,90.46467171234917,-73,100,100,100,Body
365,1078.21710260243,107.8294894790422,-73,100,100,100,Air
366,962.371509534516,188.9454470135702,-173,100,100,100,Air
367,1060.852284835737,206.310264780263,-173,100,100,100,Air
368,945.0066917678232,287.4262223147907,-173,100,100,100,Air
369,1043.487467069044,304.791040081484,-173,100,100,100,Air
370,962.371509534516,188.9454470135702,-73,100,100,100,Body
371,1060.852284835737,206.310264780263,-73,100,100,100,Air
372,945.0066917678232,287.4262223147907,-73,100,100,100,Body
373,1043.487467069044,304.791040081484,-73,100,100,100,Body
374,-1708.145898131261,73.46048975047734,-223,400,400,400,Air
375,-1435.896733228169,-30.84862878462127,-373,100,100,100,Air
376,-1337.415957926949,-13.48381101792825,-373,100,100,100,Air
377,-1453.261550994862,67.63214651659951,-373,100,100,100,Air
378,-1354.780775693642,84.99696428329253,-373,100,100,100,Air
379,-1435.896733228169,-30.84862878462127,-273,100,100,100,Air
380,-1337.415957926949,-13.48381101792825,-273,100,100,100,Body
381,-1453.261550994862,67.63214651659951,-273,100,100,100,Air
382,-1354.780775693642,84.99696428329253,-273,100,100,100,Body
383,-1238.935182625728,3.881006748764776,-373,100,100,100,Air
384,-1140.454407324507,21.2458245154578,-373,100,100,100,Air
385,-1256.300000392421,102.3617820499855,-373,100,100,100,Air
386,-1157.8192250912,119.7265998166786,-373,100,100,100,Air
387,-1238.935182625728,3.881006748764776,-273,100,100,100,Body
388,-1140.454407324507,21.2458245154578,-273,100,100,100,Body
389,-1256.300000392421,102.3617820499855,-273,100,100,100,Body
390,-1157.8192250912,119.7265998166786,-273,100,100,100,Body
391,-1470.626368761556,166.1129218178203,-373,100,100,100,Air
392,-1372.145593460335,183.4777395845133,-373,100,100,100,Air
393,-1487.991186528248,264.5936971190411,-373,100,100,100,Air
394,-1389.510411227028,281.9585148857341,-373,100,100,100,Air
395,-1470.626368761556,166.1129218178203,-273,100,100,100,Air
396,-1372.145593460335,183.4777395845133,-273,100,100,100,Body
397,-1487.991186528248,264.5936971190411,-273,100,100,100,Air
398,-1389.510411227028,281.9585148857341,-273,100,100,100,Air
399,-1273.664818159114,200.8425573512063,-373,100,100,100,Air
400,-1175.184042857893,218.2073751178993,-373,100,100,100,Air
401,-1291.029635925807,299.3233326524271,-373,100,100,100,Air
402,-1192.548860624586,316.6881504191201,-373,100,100,100,Air
403,-1273.664818159114,200.8425573512063,-273,100,100,100,Body
404,-1175.184042857893,218.2073751178993,-273,100,100,100,Body
405,-1291.029635925807,299.3233326524271,-273,100,100,100,Body
406,-1192.548860624586,316.6881504191201,-273,100,100,100,Body
407,-1435.896733228169,-30.84862878462127,-173,100,100,100,Air
408,-1337.415957926949,-13.48381101792825,-173,100,100,100,Body
409,-1453.261550994862,67.63214651659951,-173,100,100,100,Air
410,-1354.780775693642,84.99696428329253,-173,100,100,100,Body
411,-1435.896733228169,-30.84862878462127,-73,100,100,100,Air
412,-1337.415957926949,-13.48381101792825,-73,100,100,100,Air
413,-1453.261550994862,67.63214651659951,-73,100,100,100,Air
414,-1354.780775693642,84.99696428329253,-73,100,100,100,Air
415,-1238.935182625728,3.881006748764776,-173,100,100,100,Body
416,-1140.454407324507,21.2458245154578,-173,100,100,100,Body
417,-1256.300000392421,102.3617820499855,-173,100,100,100,Body
418,-1157.8192250912,119.7265998166786,-173,100,100,100,Body
419,-1238.935182625728,3.881006748764776,-73,100,100,100,Air
420,-1140.454407324507,21.2458245154578,-73,100,100,100,Body
421,-1256.300000392421,102.3617820499855,-73,100,100,100,Body
422,-1157.8192250912,119.7265998166786,-73,100,100,100,Body
423,-1470.626368761556,166.1129218178203,-173,100,100,100,Air
424,-1372.145593460335,183.4777395845133,-173,100,100,100,Body
425,-1487.991186528248,264.5936971190411,-173,100,100,100,Air
426,-1389.510411227028,281.9585148857341,-173,100,100,100,Air
427,-1470.626368761556,166.1129218178203,-73,100,100,100,Air
428,-1372.145593460335,183.4777395845133,-73,100,100,100,Air
429,-1487.991186528248,264.5936971190411,-73,100,100,100,Air
430,-1389.510411227028,281.9585148857341,-73,100,100,100,Air
431,-1273.664818159114,200.8425573512063,-173,100,100,100,Body
432,-1175.184042857893,218.2073751178993,-173,100,100,100,Body
433,-1291.029635925807,299.3233326524271,-173,100,100,100,Air
434,-1192.548860624586,316.6881504191201,-173,100,100,100,Body
435,-1273.664818159114,200.8425573512063,-73,100,100,100,Air
436,-1175.184042857893,218.2073751178993,-73,100,100,100,Air
437,-1291.029635925807,299.3233326524271,-73,100,100,100,Air
438,-1192.548860624586,316.6881504191201,-73,100,100,100,Air
439,-1001.415653256022,96.53343881610795,-123,200,200,200,Body
440,-804.4541026535808,131.263074349494,-123,200,200,200,Body
441,-839.1837381869668,328.2246249519355,-123,200,200,200,Body
442,-1041.973632023286,38.61064228215082,-373,100,100,100,Air
443,-943.4928567220654,55.97546004884384,-373,100,100,100,Air
444,-1059.338449789979,137.0914175833716,-373,100,100,100,Air
445,-960.8576744887584,154.4562353500646,-373,100,100,100,Air
446,-1041.973632023286,38.61064228215082,-273,100,100,100,Body
447,-943.4928567220654,55.97546004884384,-273,100,100,100,Body
